"Name","Rating","Gas Mileage","Engine","EPA Class","Style Name","Drivetrain","Passenger Capacity","Passenger Doors","Body Style","Transmission","EPA Classification","Base Curb Weight (lbs)","Passenger Capacity","Front Hip Room (in)","Front Leg Room (in)","Second Shoulder Room (in)","Passenger Volume (ft³)","Second Head Room (in)","Front Shoulder Room (in)","Second Hip Room (in)","Front Head Room (in)","Second Leg Room (in)","Wheelbase (in)","Track Width, Rear (in)","Height, Overall (in)","Length, Overall (in)","Min Ground Clearance (in)","Track Width, Front (in)","Width, Max w/o mirrors (in)","Cargo Volume to Seat 1 (ft³)","Cargo Volume to Seat 2 (ft³)","Cargo Volume to Seat 3 (ft³)","Fuel Tank Capacity, Approx (gal)","Fuel Economy Est-Combined (MPG)","EPA Fuel Economy Est - City (MPG)","EPA Fuel Economy Est - Hwy (MPG)","Engine Order Code","SAE Net Torque @ RPM","Fuel System","Engine Type","SAE Net Horsepower @ RPM","Displacement","Final Drive Axle Ratio (:1)","Drivetrain","First Gear Ratio (:1)","Sixth Gear Ratio (:1)","Trans Description Cont.","Fourth Gear Ratio (:1)","Trans Order Code","Second Gear Ratio (:1)","Reverse Ratio (:1)","Trans Description Cont. Again","Fifth Gear Ratio (:1)","Trans Type","Third Gear Ratio (:1)","Brake Type","Rear Brake Rotor Diam x Thickness (in)","Disc - Rear (Yes or   )","Brake ABS System","Drum - Rear (Yes or   )","Front Brake Rotor Diam x Thickness (in)","Disc - Front (Yes or   )","Rear Drum Diam x Width (in)","Steering Type","Turning Diameter - Curb to Curb (ft)","Front Tire Order Code","Spare Tire Size","Front Tire Size","Rear Tire Order Code","Rear Tire Size","Spare Tire Order Code","Front Wheel Size (in)","Spare Wheel Material","Front Wheel Material","Rear Wheel Size (in)","Rear Wheel Material","Spare Wheel Size (in)","Suspension Type - Front","Suspension Type - Rear (Cont.)","Suspension Type - Rear","Suspension Type - Front (Cont.)","Air Bag-Frontal-Driver","Air Bag-Frontal-Passenger","Air Bag-Passenger Switch (On/Off)","Air Bag-Side Body-Front","Air Bag-Side Body-Rear","Air Bag-Side Head-Front","Air Bag-Side Head-Rear","Brakes-ABS","Child Safety Rear Door Locks","Daytime Running Lights","Traction Control","Night Vision","Rollover Protection Bars","Fog Lamps","Parking Aid","Tire Pressure Monitor","Back-Up Camera","Stability Control","Other Features","Basic Miles/km","Basic Years","Corrosion Miles/km","Corrosion Years","Drivetrain Miles/km","Drivetrain Years","Hybrid/Electric Components Miles/km","Hybrid/Electric Components Years","Roadside Assistance Miles/km","Roadside Assistance Years"
"2021 Kia Niro","5.666666666666667","51 mpg City/46 mpg Hwy","Gas/Electric I-4, 1.6 L","Small Station Wagons","EX Premium FWD","Front Wheel Drive","5","4","Sport Utility","Transmission: 6-Speed Dual-Clutch -inc: sport mode","Small Station Wagons","3122","5","53.7","41.7","55.2","100.9","39.1","56","48.3","40.1","37.4","106.3","62.2","60.4","171.5","6.3","61.6","71.1","54.5","19.4","19.4","11.9","49","51","46","NA","195 @ 2400","Gasoline Direct Injection","Gas/Electric I-4","139 @ 5700","1.6 L/96","3.23","Front Wheel Drive","3.87","0.77","Auto-Shift Manual w/OD","0.93","NA","2.22","5.35","NA","0.96","6","1.37","4-Wheel Disc","10.3","Yes","4-Wheel","NA","11","Yes","NA","Rack-Pinion","35","NA","NA","P205/60HR16","NA","P205/60HR16","NA","16 X 6.5","NA","Aluminum","16 X 6.5","Aluminum","NA","Strut","Multi-Link","Multi-Link","Strut","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Cruise Control-Steering Assist
Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Blind Spot Collision Warning (BCW) Blind Spot
Forward Collision-Avoidance Assist (FCA) and Rear Cross-Traffic...
Lane Departure Warning (LDW) Lane Keeping Assist
Lane Departure Warning (LDW) Lane Departure Warning
Collision Mitigation-Front
Driver Monitoring-Alert
Parking Distance Warning - Reverse (PDW-R) Rear Parking Sensors
Tire Specific Low Tire Pressure Warning
Dual Stage Driver And Passenger Front Airbags
Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Driver Knee Airbag
Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
Back-Up Camera","60,000","5","100,000","5","100,000","10","100,000","10","60,000","5"
"2021 Tesla Model 3","7.5","N/A","Electric","Midsize Cars","Long Range AWD","All Wheel Drive","5","4","4dr Car","Transmission: 1-Speed Automatic","Midsize Cars","4250","5","53.4","42.7","54","97","37.7","56.3","52.4","40.3","35.2","113.2","62.2","56.8","184.8","N/A","62.2","72.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NA","N/A","N/A","Electric","N/A","N/A","9.00","All Wheel Drive","N/A","N/A","Automatic","N/A","NA","N/A","N/A","NA","N/A","1","N/A","4-Wheel Disc","13.2","Yes","4-Wheel","NA","12.6","Yes","NA","Rack-Pinion","38.8","NA","NA","P235/45WR18","NA","P235/45WR18","NA","18 X 8.5","NA","Aluminum","18 X 8.5","Aluminum","NA","Double Wishbone","Multi-Link","Multi-Link","Double Wishbone","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Front And Rear Parking Sensors
Blind Spot
Forward Collision Mitigation and Rear Collision Warning
Lane Keeping Assist
Lane Departure Warning
Aerial View Camera System
Collision Mitigation-Front
Driver Monitoring-Alert
Tire Specific Low Tire Pressure Warning
Dual Stage Driver And Passenger Front Airbags
Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Driver And Passenger Knee Airbag
Restricted Driving Mode
Power Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
Back-Up Camera
Front Camera
Left Side Camera
Right Side Camera","50,000","4","Unlimited","12","120,000","8","N/A","N/A","50,000","4"
"2020 Tesla Model S","8.166666666666666","N/A","Electric","Large Cars","Long Range AWD *Ltd Avail*","All Wheel Drive","5","4","4dr Car","Transmission: 1-Speed Automatic","Large Cars","4883","5","55","42.7","55","94","35.3","57.7","54.7","38.8","35.4","116.5","66.9","56.9","196","4.6","65.4","77.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NA","N/A","N/A","Electric","N/A","N/A","9.73","All Wheel Drive","8.28","N/A","Automatic","N/A","NA","N/A","N/A","NA","N/A","1","N/A","4-Wheel Disc","14.4","Yes","4-Wheel","NA","14","Yes","NA","Rack-Pinion","38.8","NA","NA","P245/45WR19","NA","P245/45WR19","NA","19 X 8","NA","Aluminum","19 X 8","Aluminum","NA","Double Wishbone","Multi-Link","Multi-Link","Double Wishbone","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Front And Rear Parking Sensors
Blind Spot
Forward Collision Mitigation and Rear Collision Warning
Autopilot Lane Keeping Assist
Autopilot Lane Departure Warning
Aerial View Camera System
Collision Mitigation-Front
Tire Specific Low Tire Pressure Warning
Dual Stage Driver And Passenger Front Airbags
Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Driver And Passenger Knee Airbag
Restricted Driving Mode
Power Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
Back-Up Camera
Front Camera
Left Side Camera
Right Side Camera","50,000","4","Unlimited","12","Unlimited","8","N/A","N/A","50,000","4"
"2021 Chevrolet Bolt EV","6.833333333333333","N/A","Electric,","Small station wagon","5dr Wgn LT","Front Wheel Drive","5","4","4dr Car","N/A","Small station wagon","3563","5","51.6","41.6","52.8","94.4","37.9","54.6","50.8","39.7","36.5","102.4","59.1","62.8","164","- TBD -","59.1","69.5","N/A","N/A","N/A","NA","NA","NA","NA","EN0","266","Electric","Electric","200","NA","7.05","Front Wheel Drive","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","Partially Regenerative Electro-Hydraulic","10 x - TBD -","Yes","4-Wheel","NA","11 x - TBD -","Yes","NA","Column-Mounted Electric Pwr","35.4","QBM","NA","P215/50R17","QBM","P215/50R17","NA","17 x - TBD -","NA","Aluminum","17 x - TBD -","Aluminum","NA","MacPherson Strut","w/Coil Springs","Compound Crank (Torsion Beam)","w/Solid Stabilizer Bar","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","StabiliTrak, stability control system with Traction Control
Pedestrian safety signal, automated external sound generator at...
Daytime Running Lamps, LED with signature lighting
Airbags, driver and front passenger dual-stage frontal includes...
OnStar and Chevrolet connected services capable (Terms and...
HD Rear Vision Camera
Seat belts, 3-point, driver and front passenger includes...
Seat belts, 3-point, rear outboard and center position
Restraint provisions, child, Isofix 2 point only, point/latch,...
Seat belt indicator, driver
Seat belt indicator, front passenger
Door locks, rear child security
Teen Driver a configurable feature that lets you activate...
Tire Pressure Monitor System, manual learn
Tire Fill Alert","36,000","3","100,000","6","60,000","5","100,000","8","60,000","5"
"2021 Ford Mustang Mach-E","8.6","N/A","Electric","Small Station Wagons","California Route 1 RWD","Rear Wheel Drive","5","4","Sport Utility","Transmission: Single Speed","Small Station Wagons","4727","5","55.4","43.3","55.9","101.1","39.3","57.6","53.2","40.4","38.1","117.5","63.4","64","186","5.7","63.5","N/A","59.7","29.7","29.7","N/A","N/A","N/A","N/A","997","317","N/A","Electric","290","N/A","9.05","Rear Wheel Drive","N/A","N/A","Automatic","N/A","44A","N/A","N/A","NA","N/A","1","N/A","4-Wheel Disc","N/A","Yes","4-Wheel","NA","N/A","Yes","N/A","Rack-Pinion","38.1","NA","NA","P225/60WR18","NA","P225/60WR18","NA","18 X 8","NA","Aluminum","18 X 8","Aluminum","NA","Strut","Multi-Link","Multi-Link","Strut","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Cruise Control-Steering Assist
AdvanceTrac Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Ford Co-Pilot360 - BLIS (Blind Spot Information System) Blind...
Ford Co-Pilot360 - Automatic Emergency Braking (AEB)
Lane Keeping Alert Lane Keeping Assist
Lane Keeping Alert Lane Departure Warning
Collision Mitigation-Front
Driver Monitoring-Alert
Evasion Assist
Collision Mitigation-Rear
Reverse Sensing System Automated Parking Sensors
Aerial View Camera System
Tire Specific Low Tire Pressure Warning
Dual Stage Driver And Passenger Front Airbags
Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Driver Knee Airbag and Rear Side-Impact Airbag
Mykey System -inc: Top Speed Limiter, Audio Volume Limiter,...
Power Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
Back-Up Camera
Front Camera w/Washer
Left Side Camera
Right Side Camera","36,000","3","Unlimited","5","60,000","5","24,000","2","60,000","5"
"2021 Volkswagen ID.4","7.0","N/A","Electric","Small SUV 2WD","1st Edition RWD","Rear Wheel Drive","5","4","Sport Utility","Transmission: Single-Speed Automatic","Small SUV 2WD","4665","5","54.4","41.1","55.9","99.9","38.4","57.5","46.7","41.1","37.6","108.9","61.6","64.4","180.5","N/A","62.5","72.9","64.2","30.3","30.3","N/A","N/A","N/A","N/A","NA","229","N/A","Electric","201","N/A","4.39","Rear Wheel Drive","2.96","N/A","Automatic","N/A","MN","N/A","2.96","NA","N/A","1","N/A","Front Disc/Rear Drum","11","N/A","4-Wheel","Yes","13.4","Yes","11","Rack-Pinion","33.6","NA","NA","P235/50TR20","NA","P255/45TR20","NA","20 X 8","NA","Aluminum","20 X 9","Aluminum","NA","Strut","Multi-Link","Multi-Link","Strut","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Cruise Control-Steering Assist
Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Park Distance Control Front And Rear Parking Sensors
Active Side Assist Blind Spot
Front Assist (Forward Collision Warning and Autonomous Emergency...
Lane Assist (Lane Keeping System) Lane Keeping Assist
Lane Assist (Lane Keeping System) Lane Departure Warning
Collision Mitigation-Front
Low Tire Pressure Warning
Dual Stage Driver And Passenger Front Airbags
Side Curtain Protection Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Power Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
Back-Up Camera w/Washer","50,000","4","100,000","7","50,000","4","N/A","N/A","36,000","3"
"2022 Honda Accord","7.333333333333333","48 mpg City/47 mpg Hwy","Gas/Electric I-4, 2.0 L","Large Cars","EX-L Hybrid Sedan","Front Wheel Drive","5","4","4dr Car","N/A","Large Cars","3388","5","55.3","42.3","56.5","102.7","37.2","58.3","55","37.5","40.4","111.4","63.4","57.1","196.1","5.8","63","73.3","N/A","N/A","N/A","12.8","47","48","47","NA","129 @ 3500","Sequential MPI","Gas/Electric I-4","212 @ 6200","2.0 L/122","3.42","Front Wheel Drive","2.45 - 2.45","N/A","CVT w/OD","N/A","NA","N/A","8.40","NA","N/A","1","N/A","4-Wheel Disc","11.1","Yes","4-Wheel","NA","12.3","Yes","NA","Rack-Pinion","38.2","NA","NA","P225/50VR17","NA","P225/50VR17","NA","17 X 7.5","NA","Aluminum","17 X 7.5","Aluminum","NA","Strut","Multi-Link","Multi-Link","Strut","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Vehicle Stability Assist (VSA) Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Lane Keeping Assist
Lane Departure Warning
Collision Mitigation-Front
Driver Monitoring-Alert
Collision Mitigation Braking System (CMBS) + FCW and Rear Cross...
Front And Rear Parking Sensors
Blind Spot Information (BSI) System Blind Spot
Low Tire Pressure Warning
Dual Stage Driver And Passenger Front Airbags
Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Driver And Passenger Knee Airbag
Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
Back-Up Camera","36,000","3","Unlimited","5","60,000","5","100,000","8","36,000","3"
"2022 Toyota Camry","7.166666666666667","51 mpg City/53 mpg Hwy","Gas/Electric I-4, 2.5 L","Midsize Cars","Hybrid LE CVT (Natl)","Front Wheel Drive","5","4","4dr Car","N/A","Midsize Cars","3480","5","55.4","42.1","55.7","99.9","37.6","57.7","54.6","38.3","38","111.2","63.2","56.9","192.1","5.7","63","72.4","N/A","N/A","N/A","13.2","52","51","53","NA","163 @ 5200","Port/Direct Injection","Gas/Electric I-4","208 @ 5700","2.5 L/152","3.29","Front Wheel Drive","N/A","N/A","CVT w/OD","N/A","NA","N/A","N/A","NA","N/A","1","N/A","4-Wheel Disc","11.1","Yes","4-Wheel","NA","12","Yes","NA","Rack-Pinion","37.4","NA","Compact","P205/65VR16","NA","P205/65VR16","NA","16 X 6.5","Steel","Steel","16 X 6.5","Steel","Compact","Strut","Multi-Link","Multi-Link","Strut","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Cruise Control-Steering Assist
Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Toyota Safety Sense (TSS) 2.5+
Lane Departure Alert (LDA) w/Steering Assist Lane Keeping Assist
Lane Departure Alert (LDA) w/Steering Assist Lane Departure...
Collision Mitigation-Front
Driver Monitoring-Alert
Tire Pressure Monitor System (TPMS) Tire Specific Low Tire...
Dual Stage Driver And Passenger Front Airbags
Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Driver And Passenger Knee Airbag and Rear Side-Impact Airbag
Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
Back-Up Camera","36,000","3","Unlimited","5","60,000","5","100,000","8","Unlimited","2"
"2022 Ford Mustang Mach-E","8.5","N/A","Electric","Small Station Wagons","California Route 1 AWD","All Wheel Drive","5","4","Sport Utility","Transmission: Single Speed","Small Station Wagons","4727","5","55.4","43.3","55.9","101.1","39.3","57.6","53.2","40.4","38.1","117.5","63.4","63.9","186","5.7","63.5","N/A","59.7","29.7","29.7","N/A","N/A","N/A","N/A","99U","428","N/A","Electric","346","N/A","9.05","All Wheel Drive","N/A","N/A","Automatic","N/A","44A","N/A","N/A","NA","N/A","1","N/A","4-Wheel Disc","N/A","Yes","4-Wheel","NA","N/A","Yes","N/A","Rack-Pinion","38.1","NA","NA","P225/60WR18","NA","P225/60WR18","NA","18 X 8","NA","Aluminum","18 X 8","Aluminum","NA","Strut","Multi-Link","Multi-Link","Strut","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Cruise Control-Steering Assist
AdvanceTrac Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Ford Co-Pilot360 - BLIS (Blind Spot Information System) Blind...
Ford Co-Pilot360 - Automatic Emergency Braking (AEB)
Lane Keeping Alert Lane Keeping Assist
Lane Keeping Alert Lane Departure Warning
Collision Mitigation-Front
Driver Monitoring-Alert
Evasion Assist
Collision Mitigation-Rear
Reverse Sensing System Automated Parking Sensors
Aerial View Camera System
Tire Specific Low Tire Pressure Warning
Dual Stage Driver And Passenger Front Airbags
Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Driver Knee Airbag and Rear Side-Impact Airbag
Mykey System -inc: Top Speed Limiter, Audio Volume Limiter,...
Power Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
Back-Up Camera
Front Camera w/Washer
Left Side Camera
Right Side Camera","36,000","3","Unlimited","5","60,000","5","24,000","2","60,000","5"
"2021 Nissan Leaf","7.166666666666667","N/A","Electric","Midsize Cars","S Hatchback","Front Wheel Drive","5","4","4dr Car","Transmission: Single Speed Reducer","Midsize Cars","3538","5","51.7","42.1","52.5","92.4","37.3","54.3","50","41.2","33.5","106.3","61.2","61.4","176.4","N/A","60.6","70.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NA","236","N/A","Electric","147 @ 3282","N/A","8.19","Front Wheel Drive","N/A","N/A","Automatic","N/A","NA","N/A","N/A","NA","N/A","1","N/A","4-Wheel Disc","11.5","Yes","4-Wheel","NA","11.1","Yes","NA","Rack-Pinion","34.8","NA","NA","P205/55HR16","NA","P205/55HR16","NA","16 X 6.5","NA","Steel","16 X 6.5","Steel","NA","Strut","Torsion Beam","Torsion Beam","Strut","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Rear Parking Sensors
Intelligent Blind Spot Intervention Blind Spot
Intelligent Forward Collision Warning with AEB
Intelligent Lane Intervention (I-LI) Lane Keeping Assist
Intelligent Lane Intervention (I-LI) Lane Departure Warning
Collision Mitigation-Front
Collision Mitigation-Rear
Low Tire Pressure Warning
Dual Stage Driver And Passenger Front Airbags
Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Driver And Passenger Knee Airbag and Rear Side-Impact Airbag
Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
RearView Monitor Back-Up Camera","36,000","3","Unlimited","5","60,000","5","60,000","5","Unlimited","3"
